voter,name,votes,first_vote,latest_vote,avg_weight,num_delegated,percentage_delegated,num_dao_votes,total_gitcoin_donations,dex_trades_l60d,nft_mints_l60d,nfts_sold_l60d,nfts_bought_l60d,num_proposals,voting_frequency_ratio
0xf66313c8ce5ff2b4712001952674530960f9632a,ethecosystem.eth,53,2023-02-19,2024-08-25,420.81,301.31362101556545,3.2698174011465027e-06,0,23.05880366999999,6,1,0,0,0,0.0005979959840641
0xd23199f1222c418ffc74c385171330b21b16e452,sugma.eth,49,2023-02-11,2024-08-27,232492.68,154896.8086760116,0.0016809206257712,0,16.6240875,34,2,0,6,0,0.0003884427538163
0x7bf1b1f18f16a64c5e85da978076799d8f44622b,susanoonomikoto.eth,47,2023-03-28,2024-08-22,597.51,1127.4272458460064,1.2234698234247796e-05,0,0.0,3,2,0,0,0,0.0003336593434158
0xe8e50fd0fd080573e80777eb5468b6200711db36,gunshin.eth,47,2023-03-29,2024-08-22,1986.41,5517.582988008769,5.987611448049668e-05,0,0.0,2,2,0,0,0,0.0004446780686318
0x4bb12cc382e36b4b6faf7bdca7708969aed258ef,alphadrops.eth,47,2023-02-12,2024-08-28,4279.13,3570.513306550901,3.874675994213405e-05,1,6.9448909075,25,93,1,1,0,0.0003655905401371
0x5ff817a31c03828c9f8995fc8b70b2eab5e59acc,liniyas.eth,46,2023-02-11,2024-07-17,4256.08,2571.611677652116,2.790680548804018e-05,14,0.0,0,8,0,0,0,0.0003670892433206
0x80cdc32eb10f4ceb0990f6622b7d0e21b06ec5f4,sarutahikonomikoto.eth,46,2023-03-29,2024-08-22,720.93,1393.1728920255398,1.5118536459775182e-05,0,0.0,7,2,0,0,0,0.0003856920222969
0xcbbb810aad387945eb1e32faa2c0c467e7b625d2,rosette093510.eth,46,2023-02-11,2024-08-28,1128.56,517.2692310886772,5.6133404364220696e-06,7,0.0,2,3,0,0,0,0.0003307328953268
0x25268869efc127aaf837486365733332abf06dbe,amanouzume.eth,45,2023-03-28,2024-08-22,632.42,1337.311198099214,1.451233240486993e-05,0,0.0,4,1,0,0,0,0.000299444251776
0x2ea5e9e452f85f55be47504153f25740a5f3d78a,archer36159.eth,45,2023-02-11,2024-08-28,8949.09,1924.99630760594,2.088981707012677e-05,26,54.23879533333335,1,14,0,0,0,0.0003677110429655
0xc026400b91a83ba6147bb4eaef6b86fac685dca8,okuninushinomikoto.eth,45,2023-03-28,2024-08-22,865.87,1575.4433167302598,1.7096512113199324e-05,0,0.0,4,1,0,0,0,0.0003623958833308
0x1e957a10796552cbd7d5c31439a5e8345db569a4,<nil>,45,2023-02-10,2024-08-23,158.55,176.92148964167123,1.9199296849484704e-06,3,0.0,1,24,50,46,0,0.0004043139415845
0x69a21c190aebab0bf16ed3a0091ae07811ea8fc8,<nil>,45,2023-10-13,2024-08-26,12.17,20.290859156175586,0.0,0,0.0,17,70,2,1,0,0.0008381186522798
0x25f9278827072c1f3e66bb115acecb35ee33da12,yamatotakerunomikoto.eth,44,2023-03-28,2024-08-22,650.66,1211.267024282438,1.3144516932505547e-05,2,0.0,4,2,0,0,0,0.0002974386440969
0xe99284ca6742f3d539da5e7407997744059bd620,<nil>,44,2023-02-12,2024-08-23,98.8,207.5054958747223,2.2518234620719325e-06,0,0.0,28,172,0,1,0,0.0003017806174691
0x6d3073bdd95de872085632145d2fcb67c0f643e0,<nil>,44,2023-02-19,2024-08-24,17.73,0.0,0.0,0,0.0,3,1,0,0,0,0.0004804073148552
0x2a20d3697bd20e607589a4536cab599e56f2b355,kurodakanbei.eth,44,2023-03-30,2024-08-22,727.81,1418.3686843771225,1.5391958019640952e-05,0,0.0,3,2,0,0,0,0.0003717395360752
0x4f41877773e44f2275da1942fee898556821bf66,jackanorak.eth,44,2023-03-24,2024-08-27,1375468.62,1863382.6754320192,0.0202211937070305,0,0.0,0,1,0,0,0,0.0002784167211216
0x5d350ab034c774acf188a8b11215a5128e1f4044,ogurioguri.eth,44,2023-03-28,2024-08-22,777.7,1495.9062660188763,1.6233386073376124e-05,0,0.0,3,2,0,0,0,0.0003075851885142
0x133a77fc7e4ae66b946f580ed22f16139690e1a8,daruchan.eth,43,2023-03-28,2024-08-22,683.16,1348.9400644682391,1.4638527395593835e-05,0,0.0,4,2,0,0,0,0.000335088090136
0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,43,2023-02-14,2024-08-24,3770013.71,3405297.2168622725,0.0369538557807076,0,0.0,0,10,0,0,0,0.0003000961071801
0xc1e93900cbeff72fbda464649f6872d20acd762d,<nil>,43,2023-04-05,2024-08-23,11.01,50.51940002419538,0.0,0,0.0,1,0,0,0,0,0.0003080545306003
0xfe650e681f31439f0783cb8e31ff1816c653730e,ebisuten.eth,43,2023-03-29,2024-08-22,702.21,1408.7506642596434,1.5287584478747872e-05,0,0.0,6,2,0,0,0,0.0003187023739723
0x2d054602f39ee2285fdde7300753e9484d42adbd,cantopop.eth,43,2023-02-12,2024-06-16,7638.96,8661.715467000487,9.399584347471272e-05,2,5.675763327500001,1,20,0,0,0,0.0002416929396589
0x2322dab459f349aace77b530a0c14198cb66d9b5,konohanasakuyahime.eth,43,2023-03-29,2024-08-22,715.99,1437.8463786360269,1.5603327500407594e-05,0,0.0,4,1,0,0,0,0.0002752578260683
0x5584cf54ade7c81ab6d6bc870c714f87fc0a7721,milan1899.eth,43,2023-03-27,2024-08-22,3368.64,3385.1311862105376,3.673501656024744e-05,2,0.0,14,16,0,0,0,0.000335088090136
0x767a60f295aedd958932088f9cd6a4951d8739b6,mozuku.eth,43,2023-02-12,2024-08-25,1332.06,1183.4413982327726,1.284255674913139e-05,27,2.152612481249999,34,453,0,1,0,0.0002948556494971
0x1538bee8f8352d0b1456293234a7f54a2358e540,niniginomikoto.eth,43,2023-03-29,2024-08-22,668.22,1349.2918250548064,1.4642344657100695e-05,0,0.0,5,1,0,0,0,0.0003256662988913
0x7e236e03634b97bdc42169d7cdec6c3282a428f3,ozakiyutaka.eth,43,2023-03-28,2024-08-22,728.41,1433.6816125408618,1.5558131984175114e-05,0,0.0,6,2,0,0,0,0.0003394426570458
0xd169cdee7cbe944345ac9e20cc8e7d042098a3cb,<nil>,42,2023-02-13,2024-08-24,28.21,10.0,0.0,0,0.0,4,2,0,0,0,0.0002752303138175
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,404gov.eth,42,2023-02-17,2024-08-27,1000530.95,1031583.1008153429,0.0111946096641957,24,0.0,1,2,0,0,0,0.0002615064931749
0x947e92e93c0fb4bcf3a69e5b6ee62c2f5ea98cac,<nil>,42,2023-02-19,2024-08-24,16.89,0.0,0.0,0,0.0,1,1,0,0,0,0.0003772890250179
0x34758cc1a7ecd316333f9d6c54b5e82615ab4ba3,alphonse001005.eth,42,2023-02-11,2024-08-28,1183.83,516.3405460951534,5.603262464036444e-06,8,0.0,0,3,0,0,0,0.0003231091657774
0xf04092d1e7b36227d8348783a95cca4077c9436d,angrycat369.eth,42,2023-02-14,2024-08-23,10.4,13.387880703945012,0.0,0,0.0,12,85,0,0,0,0.000243984671217
0x0235f081846a61090e30f975a6d84487a40426e8,<nil>,42,2023-02-19,2024-08-23,16.81,0.0,0.0,0,0.0,1,2,0,0,0,0.0004084655801393
0x3cba236140236da915c611922af2dea101ad26e7,nhatvinh.eth,42,2023-02-10,2024-08-27,1336.9,2011.8138631746172,2.183195023014346e-05,11,29.07196166666666,6,8,0,0,0,0.000243984671217
0x1d1a13b16667c284b87de62caeeff0ce89e342b2,stablenodegov.eth,42,2023-02-18,2024-08-27,69149.81,58681.66863131114,0.0006368060646321,0,0.0,0,1,0,0,0,0.000268881495443
0xfb53435c0ea6bf8b0feef1f48a4a745734951cf5,<nil>,42,2023-02-19,2024-08-24,16.93,0.0,0.0,0,0.0,0,1,0,0,0,0.0004188302545104
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,katiegarcia.eth,42,2023-03-24,2024-08-23,1144062.17,994266.9832661224,0.010789659864401,0,0.0,0,1,0,0,0,0.0002875136350002
0x0331969e189d63fbc31d771bb04ab44227d748d8,butterbum.eth,42,2023-02-13,2024-08-26,128089.59,147782.07598675354,0.0016037124442312,0,0.0,0,9,0,12,0,0.0002698776702642
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,hailvitalik.eth,42,2023-02-13,2024-06-18,102976.21,113915.81718270126,0.0012362000763004,0,0.0,0,0,0,0,0,0.0002420629336879
0x0d6ebe4e739c10bc041a703ddd84f2632ff4d0f8,<nil>,42,2023-03-25,2024-08-23,8.7,53.36656225234276,0.0,0,0.0,0,0,0,0,0,0.0002970930606427
0x94db037207f6fb697dbd33524aadffd108819dc8,joxes.eth,42,2023-02-11,2024-08-28,586720.61,1266420.0040407388,0.0137430301106716,0,0.0,0,1,0,0,0,0.000268881495443
0x5a873dac660ab965afe6146710b5c694ac936aec,<nil>,41,2023-02-19,2024-08-24,16.66,0.0,0.0,0,0.0,1,0,0,0,0,0.0003137976725251
